product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
122,363,BK-M68B-46,mountain-200 black- 46,BI_MB,bikes,mountain bikes,Yes,1252,mountain,2013-07-01
123,353,BK-M68S-38,mountain-200 silver- 38,BI_MB,bikes,mountain bikes,Yes,1266,mountain,2013-07-01
124,355,BK-M68S-42,mountain-200 silver- 42,BI_MB,bikes,mountain bikes,Yes,1266,mountain,2013-07-01
125,357,BK-M68S-46,mountain-200 silver- 46,BI_MB,bikes,mountain bikes,Yes,1266,mountain,2013-07-01
126,604,BK-R19B-44,road-750 black- 44,BI_RB,bikes,road bikes,Yes,344,road,2013-07-01
127,605,BK-R19B-48,road-750 black- 48,BI_RB,bikes,road bikes,Yes,344,road,2013-07-01
128,606,BK-R19B-52,road-750 black- 52,BI_RB,bikes,road bikes,Yes,344,road,2013-07-01
129,584,BK-R19B-58,road-750 black- 58,BI_RB,bikes,road bikes,Yes,344,road,2013-07-01
130,382,BK-R64Y-38,road-550-w yellow- 38,BI_RB,bikes,road bikes,Yes,713,road,2013-07-01
131,384,BK-R64Y-40,road-550-w yellow- 40,BI_RB,bikes,road bikes,Yes,713,road,2013-07-01
132,386,BK-R64Y-42,road-550-w yellow- 42,BI_RB,bikes,road bikes,Yes,713,road,2013-07-01
133,388,BK-R64Y-44,road-550-w yellow- 44,BI_RB,bikes,road bikes,Yes,713,road,2013-07-01
134,390,BK-R64Y-48,road-550-w yellow- 48,BI_RB,bikes,road bikes,Yes,713,road,2013-07-01
135,580,BK-R79Y-40,road-350-w yellow- 40,BI_RB,bikes,road bikes,Yes,1083,road,2013-07-01
136,581,BK-R79Y-42,road-350-w yellow- 42,BI_RB,bikes,road bikes,Yes,1083,road,2013-07-01
137,582,BK-R79Y-44,road-350-w yellow- 44,BI_RB,bikes,road bikes,Yes,1083,road,2013-07-01
138,583,BK-R79Y-48,road-350-w yellow- 48,BI_RB,bikes,road bikes,Yes,1083,road,2013-07-01
139,374,BK-R89B-44,road-250 black- 44,BI_RB,bikes,road bikes,Yes,1555,road,2013-07-01
140,376,BK-R89B-48,road-250 black- 48,BI_RB,bikes,road bikes,Yes,1555,road,2013-07-01
141,378,BK-R89B-52,road-250 black- 52,BI_RB,bikes,road bikes,Yes,1555,road,2013-07-01
142,380,BK-R89B-58,road-250 black- 58,BI_RB,bikes,road bikes,Yes,1555,road,2013-07-01
143,372,BK-R89R-58,road-250 red- 58,BI_RB,bikes,road bikes,Yes,1555,road,2013-07-01
144,585,BK-T18U-44,touring-3000 blue- 44,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
145,586,BK-T18U-50,touring-3000 blue- 50,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
146,565,BK-T18U-54,touring-3000 blue- 54,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
147,566,BK-T18U-58,touring-3000 blue- 58,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
148,567,BK-T18U-62,touring-3000 blue- 62,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
149,568,BK-T18Y-44,touring-3000 yellow- 44,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
150,569,BK-T18Y-50,touring-3000 yellow- 50,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
151,570,BK-T18Y-54,touring-3000 yellow- 54,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
152,571,BK-T18Y-58,touring-3000 yellow- 58,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
153,572,BK-T18Y-62,touring-3000 yellow- 62,BI_TB,bikes,touring bikes,Yes,461,touring,2013-07-01
154,577,BK-T44U-46,touring-2000 blue- 46,BI_TB,bikes,touring bikes,Yes,755,touring,2013-07-01
155,578,BK-T44U-50,touring-2000 blue- 50,BI_TB,bikes,touring bikes,Yes,755,touring,2013-07-01
156,579,BK-T44U-54,touring-2000 blue- 54,BI_TB,bikes,touring bikes,Yes,755,touring,2013-07-01
157,560,BK-T44U-60,touring-2000 blue- 60,BI_TB,bikes,touring bikes,Yes,755,touring,2013-07-01
158,573,BK-T79U-46,touring-1000 blue- 46,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
159,574,BK-T79U-50,touring-1000 blue- 50,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
160,575,BK-T79U-54,touring-1000 blue- 54,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
161,576,BK-T79U-60,touring-1000 blue- 60,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
162,561,BK-T79Y-46,touring-1000 yellow- 46,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
163,562,BK-T79Y-50,touring-1000 yellow- 50,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
164,563,BK-T79Y-54,touring-1000 yellow- 54,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
165,564,BK-T79Y-60,touring-1000 yellow- 60,BI_TB,bikes,touring bikes,Yes,1482,touring,2013-07-01
166,225,CA-1098,awc logo cap,CL_CA,clothing,caps,No,7,other sales,2013-07-01
167,559,CH-0234,chain,CO_CH,components,chains,Yes,9,unknown,2013-07-01
168,484,CL-9009,bike wash - dissolver,AC_CL,accessories,cleaners,Yes,3,other sales,2013-07-01
169,556,CS-4759,ll crankset,CO_CS,components,cranksets,Yes,78,unknown,2013-07-01
170,557,CS-6583,ml crankset,CO_CS,components,cranksets,Yes,114,unknown,2013-07-01
171,558,CS-9183,hl crankset,CO_CS,components,cranksets,Yes,180,unknown,2013-07-01
172,555,FB-9873,front brakes,CO_BR,components,brakes,Yes,47,unknown,2013-07-01
173,552,FD-2342,front derailleur,CO_DE,components,derailleurs,Yes,41,unknown,2013-07-01
174,485,FE-6654,fender set - mountain,AC_FE,accessories,fenders,No,8,mountain,2013-07-01
175,550,FR-M21B-40,ll mountain frame - black- 40,CO_MF,components,mountain frames,Yes,137,mountain,2013-07-01
176,531,FR-M21B-42,ll mountain frame - black- 42,CO_MF,components,mountain frames,Yes,137,mountain,2013-07-01
177,532,FR-M21B-44,ll mountain frame - black- 44,CO_MF,components,mountain frames,Yes,137,mountain,2013-07-01
178,533,FR-M21B-48,ll mountain frame - black- 48,CO_MF,components,mountain frames,Yes,137,mountain,2013-07-01
179,534,FR-M21B-52,ll mountain frame - black- 52,CO_MF,components,mountain frames,Yes,137,mountain,2013-07-01
180,551,FR-M21S-40,ll mountain frame - silver- 40,CO_MF,components,mountain frames,Yes,145,mountain,2013-07-01
181,524,FR-M21S-42,ll mountain frame - silver- 42,CO_MF,components,mountain frames,Yes,145,mountain,2013-07-01
182,525,FR-M21S-44,ll mountain frame - silver- 44,CO_MF,components,mountain frames,Yes,145,mountain,2013-07-01
183,526,FR-M21S-48,ll mountain frame - silver- 48,CO_MF,components,mountain frames,Yes,145,mountain,2013-07-01
184,527,FR-M21S-52,ll mountain frame - silver- 52,CO_MF,components,mountain frames,Yes,145,mountain,2013-07-01
185,549,FR-M63S-38,ml mountain frame-w - silver- 38,CO_MF,components,mountain frames,Yes,199,mountain,2013-07-01
186,511,FR-M63S-40,ml mountain frame-w - silver- 40,CO_MF,components,mountain frames,Yes,199,mountain,2013-07-01
187,512,FR-M63S-42,ml mountain frame-w - silver- 42,CO_MF,components,mountain frames,Yes,199,mountain,2013-07-01
188,513,FR-M63S-46,ml mountain frame-w - silver- 46,CO_MF,components,mountain frames,Yes,199,mountain,2013-07-01
189,306,FR-M94B-38,hl mountain frame - black- 38,CO_MF,components,mountain frames,Yes,739,mountain,2013-07-01
190,298,FR-M94B-42,hl mountain frame - black- 42,CO_MF,components,mountain frames,Yes,739,mountain,2013-07-01
191,303,FR-M94B-46,hl mountain frame - black- 46,CO_MF,components,mountain frames,Yes,739,mountain,2013-07-01
192,309,FR-M94S-38,hl mountain frame - silver- 38,CO_MF,components,mountain frames,Yes,747,mountain,2013-07-01
193,290,FR-M94S-42,hl mountain frame - silver- 42,CO_MF,components,mountain frames,Yes,747,mountain,2013-07-01
194,295,FR-M94S-46,hl mountain frame - silver- 46,CO_MF,components,mountain frames,Yes,747,mountain,2013-07-01
195,281,FR-R38B-44,ll road frame - black- 44,CO_RF,components,road frames,Yes,205,road,2013-07-01
196,284,FR-R38B-48,ll road frame - black- 48,CO_RF,components,road frames,Yes,205,road,2013-07-01
197,287,FR-R38B-52,ll road frame - black- 52,CO_RF,components,road frames,Yes,205,road,2013-07-01
198,255,FR-R38B-58,ll road frame - black- 58,CO_RF,components,road frames,Yes,205,road,2013-07-01
199,258,FR-R38B-60,ll road frame - black- 60,CO_RF,components,road frames,Yes,205,road,2013-07-01
200,261,FR-R38B-62,ll road frame - black- 62,CO_RF,components,road frames,Yes,205,road,2013-07-01
201,418,FR-R72Y-38,ml road frame-w - yellow- 38,CO_RF,components,road frames,Yes,361,road,2013-07-01
202,430,FR-R72Y-40,ml road frame-w - yellow- 40,CO_RF,components,road frames,Yes,361,road,2013-07-01
203,432,FR-R72Y-42,ml road frame-w - yellow- 42,CO_RF,components,road frames,Yes,361,road,2013-07-01
204,434,FR-R72Y-44,ml road frame-w - yellow- 44,CO_RF,components,road frames,Yes,361,road,2013-07-01
205,436,FR-R72Y-48,ml road frame-w - yellow- 48,CO_RF,components,road frames,Yes,361,road,2013-07-01
206,440,FR-R92B-44,hl road frame - black- 44,CO_RF,components,road frames,Yes,869,road,2013-07-01
207,442,FR-R92B-48,hl road frame - black- 48,CO_RF,components,road frames,Yes,869,road,2013-07-01
208,444,FR-R92B-52,hl road frame - black- 52,CO_RF,components,road frames,Yes,869,road,2013-07-01
209,438,FR-R92B-62,hl road frame - black- 62,CO_RF,components,road frames,Yes,869,road,2013-07-01
210,243,FR-R92R-44,hl road frame - red- 44,CO_RF,components,road frames,Yes,869,road,2013-07-01
211,246,FR-R92R-48,hl road frame - red- 48,CO_RF,components,road frames,Yes,869,road,2013-07-01
212,249,FR-R92R-52,hl road frame - red- 52,CO_RF,components,road frames,Yes,869,road,2013-07-01
213,252,FR-R92R-56,hl road frame - red- 56,CO_RF,components,road frames,Yes,869,road,2013-07-01
214,240,FR-R92R-62,hl road frame - red- 62,CO_RF,components,road frames,Yes,869,road,2013-07-01
215,510,FR-T67U-44,ll touring frame - blue- 44,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
216,502,FR-T67U-50,ll touring frame - blue- 50,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
217,503,FR-T67U-54,ll touring frame - blue- 54,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
218,504,FR-T67U-58,ll touring frame - blue- 58,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
219,505,FR-T67U-62,ll touring frame - blue- 62,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
220,506,FR-T67Y-44,ll touring frame - yellow- 44,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
221,507,FR-T67Y-50,ll touring frame - yellow- 50,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
222,508,FR-T67Y-54,ll touring frame - yellow- 54,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
223,509,FR-T67Y-58,ll touring frame - yellow- 58,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
224,493,FR-T67Y-62,ll touring frame - yellow- 62,CO_TF,components,touring frames,Yes,200,touring,2013-07-01
225,497,FR-T98U-46,hl touring frame - blue- 46,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
226,498,FR-T98U-50,hl touring frame - blue- 50,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
227,499,FR-T98U-54,hl touring frame - blue- 54,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
228,500,FR-T98U-60,hl touring frame - blue- 60,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
229,494,FR-T98Y-46,hl touring frame - yellow- 46,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
230,495,FR-T98Y-50,hl touring frame - yellow- 50,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
231,496,FR-T98Y-54,hl touring frame - yellow- 54,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
232,492,FR-T98Y-60,hl touring frame - yellow- 60,CO_TF,components,touring frames,Yes,602,touring,2013-07-01
233,467,GL-H102-L,half-finger gloves- l,CL_GL,clothing,gloves,No,9,other sales,2013-07-01
234,465,GL-H102-M,half-finger gloves- m,CL_GL,clothing,gloves,No,9,other sales,2013-07-01
235,463,GL-H102-S,half-finger gloves- s,CL_GL,clothing,gloves,No,9,other sales,2013-07-01
236,398,HB-M243,ll mountain handlebars,CO_HB,components,handlebars,No,20,mountain,2013-07-01
237,400,HB-M763,ml mountain handlebars,CO_HB,components,handlebars,No,27,mountain,2013-07-01
238,402,HB-M918,hl mountain handlebars,CO_HB,components,handlebars,No,53,mountain,2013-07-01
239,404,HB-R504,ll road handlebars,CO_HB,components,handlebars,No,20,road,2013-07-01
240,406,HB-R720,ml road handlebars,CO_HB,components,handlebars,No,27,road,2013-07-01
241,408,HB-R956,hl road handlebars,CO_HB,components,handlebars,No,53,road,2013-07-01
242,553,HB-T721,ll touring handlebars,CO_HB,components,handlebars,No,20,touring,2013-07-01
243,554,HB-T928,hl touring handlebars,CO_HB,components,handlebars,No,41,touring,2013-07-01
244,217,HL-U509,sport-100 helmet- black,AC_HE,accessories,helmets,Yes,13,other sales,2013-07-01
245,222,HL-U509-B,sport-100 helmet- blue,AC_HE,accessories,helmets,Yes,13,other sales,2013-07-01
246,214,HL-U509-R,sport-100 helmet- red,AC_HE,accessories,helmets,Yes,13,other sales,2013-07-01
247,487,HY-1023-70,hydration pack - 70 oz.,AC_HP,accessories,hydration packs,No,21,other sales,2013-07-01
248,234,LJ-0192-L,long-sleeve logo jersey- l,CL_JE,clothing,jerseys,No,38,other sales,2013-07-01
249,231,LJ-0192-M,long-sleeve logo jersey- m,CL_JE,clothing,jerseys,No,38,other sales,2013-07-01
250,228,LJ-0192-S,long-sleeve logo jersey- s,CL_JE,clothing,jerseys,No,38,other sales,2013-07-01
251,237,LJ-0192-X,long-sleeve logo jersey- xl,CL_JE,clothing,jerseys,No,38,other sales,2013-07-01
252,542,PD-M282,ll mountain pedal,CO_PE,unknown,unknown,unknown,18,mountain,2013-07-01
253,543,PD-M340,ml mountain pedal,CO_PE,unknown,unknown,unknown,28,mountain,2013-07-01
254,544,PD-M562,hl mountain pedal,CO_PE,unknown,unknown,unknown,36,mountain,2013-07-01
255,545,PD-R347,ll road pedal,CO_PE,unknown,unknown,unknown,18,road,2013-07-01
256,546,PD-R563,ml road pedal,CO_PE,unknown,unknown,unknown,28,road,2013-07-01
257,547,PD-R853,hl road pedal,CO_PE,unknown,unknown,unknown,36,road,2013-07-01
258,548,PD-T852,touring pedal,CO_PE,unknown,unknown,unknown,36,touring,2013-07-01
259,480,PK-7098,patch kit/8 patches,AC_TT,accessories,tires and tubes,Yes,1,other sales,2013-07-01
260,483,RA-H123,hitch rack - 4-bike,AC_BR,accessories,bike racks,Yes,45,other sales,2013-07-01
